7,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
8,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
9,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
10,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
11,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
12,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
13,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
14,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
15,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
16,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
17,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
18,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
19,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
20,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
21,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
22,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
23,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
24,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
25,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
26,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
27,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
28,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
29,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
30,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬

Case 1 PMV Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Case 1 PMV Grid ASCI-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
2,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
3,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
4,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
5,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
6,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,◾,◾,◾,◾,◾,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
7,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
8,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
9,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
10,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
11,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
12,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
13,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
14,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
15,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
16,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
17,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
18,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
19,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
20,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
21,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
22,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
23,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
24,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
25,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
26,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
27,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
28,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
29,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
30,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬

Case 1 PPD Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,5,5,5,5,5,5,5,5,5,5,5,5,24.6,26.4,28.2,30.4,34,37.6,37.6,37.6,37.7,37.6,37.6,37.6,34,30.4,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5
2,5,5,5,5,5,5,5,5,5,5,5,5,24.6,25.5,27.1,29.2,32,35.6,37.1,37.1,37.1,37.1,37.1,35.6,32,29.2,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5

Case 1 PPD Grid ASCI-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,.,.,.,.,.,.,.,.,.,.,.,.,=,=,=,•,•,▪,▪,▪,▪,▪,▪,▪,•,•,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,.,.,.,.,.,.,.,.,.,.,.,.,=,=,=,•,•,•,•,•,•,•,•,•,•,•,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
